name,description,priority,direction,access,protocol,source_port_range,source_port_ranges,destination_port_range,destination_port_ranges,source_address_prefix,source_address_prefixes,source_application_security_group_ids,destination_address_prefix,destination_address_prefixes,destination_application_security_group_ids
Allow_Onprem_MgmtZone_IN,On-Prem Mgmt Zone Access,1000,Inbound,Allow,TCP,,3389,,,,"10.70.4.29, 10.72.80.110",,,10.158.1.0/25,
Allow_MNC_NNSW_DC_IN,Allow MNC/NNSW Domain Controllers,1020,Inbound,Allow,*,,"53,123,135,137,138,139,389,464,636,3268,3269,5722,9389,49152-65534,88,445",,,,"10.67.32.11,10.67.105.11,10.66.193.20,10.70.128.10,10.67.98.6,10.67.56.139,10.70.89.11,10.70.4.19,10.70.4.43,10.70.94.50,10.70.116.10,10.67.102.14,10.67.88.21,10.70.124.16,10.68.0.28,10.72.128.10,10.72.128.14,10.72.119.10,10.64.128.29,10.67.72.17,10.72.20.15,10.66.5.230,10.66.5.16,10.66.5.18,10.68.64.50,10.70.158.10,10.67.116.15,10.64.64.32,10.70.120.10,10.67.80.15,10.72.80.10,10.72.80.47,10.72.24.10,10.72.39.70,10.67.110.17,10.72.118.10,10.64.0.22,10.67.96.24,10.140.20.115,10.72.48.10,10.68.132.15,10.65.69.195,10.65.69.196,10.66.5.32,10.66.5.149,10.65.69.193,10.65.69.192,10.67.98.4,10.68.0.19,10.68.64.21,10.64.0.19,10.70.96.10, 10.160.0.147",,,10.158.1.0/25,
Allow_Access_From_Shared_Services_Infra_SMC_IN,Access To Shared Services Infra SMC,1030,Inbound,Allow,*,,*,,,,10.158.0.64/26,,,10.158.1.0/25,
Allow_Subnet_To_Itself_IN,SMC to Itself,1040,Inbound,Allow,*,,*,,,,10.158.1.0/25,,,10.158.1.0/25,
Allow_eHealthProxy_IN,eHealth (State-Wide)Proxy Services,1050,Inbound,Allow,*,,"8080,40104,40114,3128",,,,"10.140.48.44,10.140.48.46,10.147.176.153,10.143.176.153,10.134.32.176/28,10.134.0.176/28",,,10.158.1.0/25,
Allow_Userlock_2FA_IN,Userlock2FA,1070,Inbound,Allow,*,,"445,icmp/8",,,,10.72.80.34,,,10.158.1.0/25,
Allow_SCCM_IN,Allows traffic from on-premises SCCM,1080,Inbound,Allow,*,,"135,145,1024-65535,",,,,"10.70.4.89,10.144.6.85",,,10.158.1.0/25,
Allow_PRTG_IN,Allows traffic from and to on-premises PRTG,1090,Inbound,Allow,TCP,,23560,,,,10.70.4.152,,,10.158.1.0/25,
Allow_SharedServices_IN,Allows Inbound from SS to Platform 1,1100,Inbound,Allow,*,,*,,,,10.158.0.64/26,,,10.158.1.0/25,
Allow_Plaftform2_IN,Allows Inbound from Platform 2 to Platform 1,1110,Inbound,Allow,*,,*,,,,10.158.1.128/26,,,10.158.1.0/25,
